"id","description","last_updated"
"338675","Chicken patty sandwich, miniature, with spread","2019-04-01"
"338676","Chicken patty sandwich or biscuit","2019-04-01"
"338677","Chicken patty sandwich, with lettuce and spread","2019-04-01"
"338678","Fajita-style chicken sandwich with cheese, on pita bread, with lettuce and tomato","2019-04-01"
"338679","Wrap sandwich filled with chicken strips (breaded, fried), cheese, lettuce, and spread","2019-04-01"
"338680","Chicken patty sandwich with cheese, on wheat bun, with lettuce, tomato and spread","2019-04-01"
"338681","Chicken fillet, broiled, sandwich with lettuce, tomato, and spread","2019-04-01"
"338682","Chicken fillet, (broiled), sandwich, on whole wheat roll, with lettuce, tomato and spread","2019-04-01"
"338683","Chicken fillet, broiled, sandwich with cheese, on whole wheat roll, with lettuce, tomato and non-mayonnaise type spread","2019-04-01"
"338684","Chicken fillet, broiled, sandwich, on oat bran bun, with lettuce, tomato, spread","2019-04-01"
"338685","Chicken fillet, broiled, sandwich, with lettuce, tomato, and non-mayonnaise type spread","2019-04-01"
"338686","Chicken fillet, broiled, sandwich with cheese, on bun, with lettuce, tomato and spread","2019-04-01"
"338687","Chicken submarine sandwich, with lettuce, tomato, and spread","2019-04-01"
"338688","Chicken submarine sandwich, with cheese, lettuce, tomato, and spread","2019-04-01"
"338689","Wrap sandwich filled with chicken strips (broiled), cheese, lettuce, and spread","2019-04-01"
"338690","Turkey sandwich, with spread","2019-04-01"
"338691","Turkey salad or turkey spread sandwich","2019-04-01"
"338692","Turkey sandwich, with gravy","2019-04-01"
"338693","Turkey submarine sandwich, with cheese, lettuce, tomato and spread","2019-04-01"
"338694","Turkey, ham, and roast beef club sandwich, with lettuce, tomato and spread","2019-04-01"
"338695","Turkey, ham, and roast beef club sandwich with cheese, lettuce, tomato, and spread","2019-04-01"
"338696","Fish sandwich, on bun, with spread","2019-04-01"
"338697","Fish sandwich, on bun, with cheese and spread","2019-04-01"
"338698","Crab cake sandwich, on bun","2019-04-01"
"338699","Sardine sandwich, with lettuce and spread","2019-04-01"
"338700","Tuna salad sandwich, with lettuce","2019-04-01"
"338701","Tuna salad sandwich","2019-04-01"
"338702","Tuna melt sandwich","2019-04-01"
"338703","Tuna salad submarine sandwich, with lettuce and tomato","2019-04-01"
"338704","Tuna salad submarine sandwich, with cheese, lettuce and tomato","2019-04-01"
"338705","Luncheon meat sandwich, NFS, with spread","2019-04-01"
"338706","Bologna sandwich, with spread","2019-04-01"
"338707","Bologna and cheese sandwich, with spread","2019-04-01"
"338708","Corn dog (frankfurter or hot dog with cornbread coating)","2019-04-01"
"338709","Pig in a blanket (frankfurter or hot dog wrapped in dough)","2019-04-01"
"338710","Puerto Rican sandwich (Sandwich criollo)","2019-04-01"
"338711","Pepperoni and salami submarine sandwich, with lettuce, tomato, and spread","2019-04-01"
"338712","Salami sandwich, with spread","2019-04-01"
"338713","Sausage on biscuit","2019-04-01"
"338714","Sausage griddle cake sandwich","2019-04-01"
"338715","Sausage and cheese on English muffin","2019-04-01"
"338717","Sausage sandwich","2019-04-01"
"338718","Sausage and spaghetti sauce sandwich","2019-04-01"
"338719","Cold cut submarine sandwich, with cheese, lettuce, tomato, and spread","2019-04-01"
"338720","Meat spread or potted meat sandwich","2019-04-01"
"338721","Frankfurter or hot dog sandwich, NFS, plain, on white bun","2019-04-01"
"338722","Frankfurter or hot dog sandwich, NFS, plain, on wheat bun","2019-04-01"
"338723","Frankfurter or hot dog sandwich, NFS, plain, on whole wheat bun","2019-04-01"
"338724","Frankfurter or hot dog sandwich, NFS, plain, on whole grain white bun","2019-04-01"
"338725","Frankfurter or hot dog sandwich, NFS, plain, on multigrain bun","2019-04-01"
"338726","Frankfurter or hot dog sandwich, NFS, plain, on white bread","2019-04-01"
"338727","Frankfurter or hot dog sandwich, NFS, plain, on wheat bread","2019-04-01"
"338728","Frankfurter or hot dog sandwich, NFS, plain, on whole wheat bread","2019-04-01"
"338729","Frankfurter or hot dog sandwich, NFS, plain, on whole grain white bread","2019-04-01"
"338730","Frankfurter or hot dog sandwich, NFS, plain, on multigrain bread","2019-04-01"
"338731","Frankfurter or hot dog sandwich, beef, plain, on white bun","2019-04-01"
"338732","Frankfurter or hot dog sandwich, beef, plain, on wheat bun","2019-04-01"
"338733","Frankfurter or hot dog sandwich, beef, plain, on whole wheat bun","2019-04-01"
"338734","Frankfurter or hot dog sandwich, beef, plain, on whole grain white bun","2019-04-01"
"338735","Frankfurter or hot dog sandwich, beef, plain, on multigrain bun","2019-04-01"
"338736","Frankfurter or hot dog sandwich, beef, plain, on white bread","2019-04-01"
"338737","Frankfurter or hot dog sandwich, beef, plain, on wheat bread","2019-04-01"
"338738","Frankfurter or hot dog sandwich, beef, plain, on whole wheat bread","2019-04-01"
"338739","Frankfurter or hot dog sandwich, beef, plain, on whole grain white bread","2019-04-01"
"338740","Frankfurter or hot dog sandwich, beef, plain, on multigrain bread","2019-04-01"
"338741","Frankfurter or hot dog sandwich, beef and pork, plain, on white bun","2019-04-01"
"338742","Frankfurter or hot dog sandwich, beef and pork, plain, on wheat bun","2019-04-01"
"338743","Frankfurter or hot dog sandwich, beef and pork, plain, on whole wheat bun","2019-04-01"
"338744","Frankfurter or hot dog sandwich, beef and pork, plain, on whole grain white bun","2019-04-01"
"338745","Frankfurter or hot dog sandwich, beef and pork, plain, on multigrain bun","2019-04-01"
"338746","Frankfurter or hot dog sandwich, beef and pork, plain, on white bread","2019-04-01"
"338747","Frankfurter or hot dog sandwich, beef and pork, plain, on wheat bread","2019-04-01"
"338748","Frankfurter or hot dog sandwich, beef and pork, plain, on whole wheat bread","2019-04-01"
"338749","Frankfurter or hot dog sandwich, beef and pork, plain, on whole grain white bread","2019-04-01"
"338750","Frankfurter or hot dog sandwich, beef and pork, plain, on multigrain bread","2019-04-01"
"338751","Frankfurter or hot dog sandwich, meat and poultry, plain, on white bun","2019-04-01"
"338752","Frankfurter or hot dog sandwich, meat and poultry, plain, on wheat bun","2019-04-01"
"338753","Frankfurter or hot dog sandwich, meat and poultry, plain, on whole wheat bun","2019-04-01"
"338754","Frankfurter or hot dog sandwich, meat and poultry, plain, on whole grain white bun","2019-04-01"
"338755","Frankfurter or hot dog sandwich, meat and poultry, plain, on multigrain bun","2019-04-01"
"338756","Frankfurter or hot dog sandwich, meat and poultry, plain, on white bread","2019-04-01"
"338757","Frankfurter or hot dog sandwich, meat and poultry, plain, on wheat bread","2019-04-01"
"338758","Frankfurter or hot dog sandwich, meat and poultry, plain, on whole wheat bread","2019-04-01"
"338759","Frankfurter or hot dog sandwich, meat and poultry, plain, on whole grain white bread","2019-04-01"
"338760","Frankfurter or hot dog sandwich, meat and poultry, plain, on multigrain bread","2019-04-01"
"338761","Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on white bun","2019-04-01"
"338762","Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on wheat bun","2019-04-01"
"338763","Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on whole wheat bun","2019-04-01"
"338764","Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on whole grain white bun","2019-04-01"
"338765","Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on multigrain bun","2019-04-01"
"338766","Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on white bread","2019-04-01"
"338767","Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on wheat bread","2019-04-01"
"338768","Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on whole wheat bread","2019-04-01"
"338769","Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on whole grain white bread","2019-04-01"
"338770","Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on multigrain bread","2019-04-01"
"338771","Frankfurter or hot dog sandwich, reduced fat or light, plain, on white bun","2019-04-01"
"338772","Frankfurter or hot dog sandwich, reduced fat or light, plain, on wheat bun","2019-04-01"
"338773","Frankfurter or hot dog sandwich, reduced fat or light, plain, on whole wheat bun","2019-04-01"
"338774","Frankfurter or hot dog sandwich, reduced fat or light, plain, on whole grain white bun","2019-04-01"
"338775","Frankfurter or hot dog sandwich, reduced fat or light, plain, on multigrain bun","2019-04-01"
"338776","Frankfurter or hot dog sandwich, reduced fat or light, plain, on white bread","2019-04-01"
"338777","Frankfurter or hot dog sandwich, reduced fat or light, plain, on wheat bread","2019-04-01"
"338778","Frankfurter or hot dog sandwich, reduced fat or light, plain, on whole wheat bread","2019-04-01"
"338779","Frankfurter or hot dog sandwich, reduced fat or light, plain, on whole grain white bread","2019-04-01"
"338780","Frankfurter or hot dog sandwich, reduced fat or light, plain, on multigrain bread","2019-04-01"
"338781","Frankfurter or hot dog sandwich, fat free, plain, on white bun","2019-04-01"
"338782","Frankfurter or hot dog sandwich, fat free, plain, on wheat bun","2019-04-01"
"338783","Frankfurter or hot dog sandwich, fat free, plain, on whole wheat bun","2019-04-01"
"338784","Frankfurter or hot dog sandwich, fat free, plain, on whole grain white bun","2019-04-01"
"338785","Frankfurter or hot dog sandwich, fat free, plain, on multigrain bun","2019-04-01"
"338786","Frankfurter or hot dog sandwich, fat free, plain, on white bread","2019-04-01"
"338787","Frankfurter or hot dog sandwich, fat free, plain, on wheat bread","2019-04-01"
"338788","Frankfurter or hot dog sandwich, fat free, plain, on whole wheat bread","2019-04-01"
"338789","Frankfurter or hot dog sandwich, fat free, plain, on whole grain white bread","2019-04-01"
"338790","Frankfurter or hot dog sandwich, fat free, plain, on multigrain bread","2019-04-01"
"338791","Frankfurter or hot dog sandwich, meatless, plain, on bun","2019-04-01"
"338792","Frankfurter or hot dog sandwich, meatless, plain, on bread","2019-04-01"
"338793","Frankfurter or hot dog sandwich, with chili, on white bun","2019-04-01"
"338794","Frankfurter or hot dog sandwich, with chili, on wheat bun","2019-04-01"
"338795","Frankfurter or hot dog sandwich, with chili, on whole wheat bun","2019-04-01"
"338796","Frankfurter or hot dog sandwich, with chili, on whole grain white bun","2019-04-01"
"338797","Frankfurter or hot dog sandwich, with chili, on multigrain bun","2019-04-01"
"338798","Frankfurter or hot dog sandwich, with chili, on white bread","2019-04-01"
"338799","Frankfurter or hot dog sandwich, with chili, on wheat bread","2019-04-01"
"338800","Frankfurter or hot dog sandwich, with chili, on whole wheat bread","2019-04-01"
"338801","Frankfurter or hot dog sandwich, with chili, on whole grain white bread","2019-04-01"
"338802","Frankfurter or hot dog sandwich, with chili, on multigrain bread","2019-04-01"
"338803","Frankfurter or hot dog sandwich, with meatless chili, on white bun","2019-04-01"
"338804","Frankfurter or hot dog sandwich, with meatless chili, on wheat bun","2019-04-01"
"338805","Frankfurter or hot dog sandwich, with meatless chili, on whole wheat bun","2019-04-01"
"338806","Frankfurter or hot dog sandwich, with meatless chili, on whole grain white bun","2019-04-01"
"338807","Frankfurter or hot dog sandwich, with meatless chili, on multigrain bun","2019-04-01"
"338808","Frankfurter or hot dog sandwich, with meatless chili, on white bread","2019-04-01"
"338809","Frankfurter or hot dog sandwich, with meatless chili, on wheat bread","2019-04-01"
"338810","Frankfurter or hot dog sandwich, with meatless chili, on whole wheat bread","2019-04-01"
"338811","Frankfurter or hot dog sandwich, with meatless chili, on whole grain white bread","2019-04-01"
"338812","Frankfurter or hot dog sandwich, with meatless chili, on multigrain bread","2019-04-01"
"338813","Frankfurter or hot dog sandwich, meatless, on bun, with meatless chili","2019-04-01"
"338814","Frankfurter or hot dog sandwich, meatless, on bread, with meatless chili","2019-04-01"
"338815","Hors d'oeuvres, with spread","2019-04-01"
"338899","Beef, broth, bouillon, or consomme","2019-04-01"
"338900","Oxtail soup","2019-04-01"
"338901","Beef broth, with tomato, home recipe","2019-04-01"
"338902","Beef broth, without tomato, home recipe","2019-04-01"
"338903","Meatball soup, Mexican style, home recipe (Sopa de Albondigas)","2019-04-01"
"338904","Beef noodle soup, Puerto Rican style (Sopa de carne y fideos)","2019-04-01"
"338905","Meat and rice noodle soup, Asian style (Vietnamese Pho Bo)","2019-04-01"
"338906","Beef and rice soup, Puerto Rican style","2019-04-01"
"338907","Pepperpot (tripe) soup","2019-04-01"
"338908","Menudo soup, home recipe","2019-04-01"
"338909","Menudo soup, canned, prepared with water or ready-to-serve","2019-04-01"
"338910","Beef vegetable soup with potato, pasta, or rice, chunky style, canned, or ready-to-serve","2019-04-01"
"338911","Beef vegetable soup, Mexican style, home recipe, (Sopa / Caldo de Res)","2019-04-01"
"338912","Meat and corn hominy soup, Mexican style, home recipe (Pozole)","2019-04-01"
"338913","Italian Wedding Soup","2019-04-01"
"338914","Beef stroganoff soup, chunky style, home recipe, canned or ready-to-serve","2019-04-01"
"338915","Ham, rice, and potato soup, Puerto Rican style","2019-04-01"
"338916","Ham, noodle, and vegetable soup, Puerto Rican style","2019-04-01"
"338917","Pork vegetable soup with potato, pasta, or rice, stew type, chunky style","2019-04-01"
"338918","Pork with vegetable (excluding carrots, broccoli and/or dark-green leafy) soup, Asian Style","2019-04-01"
"338919","Bacon soup, cream of, prepared with water","2019-04-01"
"338920","Lamb, pasta, and vegetable soup, Puerto Rican style","2019-04-01"
"338921","Chicken or turkey broth, bouillon, or consomme","2019-04-01"
"338922","Chicken or turkey broth, without tomato, home recipe","2019-04-01"
"338923","Chicken or turkey broth, with tomato, home recipe","2019-04-01"
"338924","Mexican style chicken broth soup stock","2019-04-01"
"338925","Beef broth, less or reduced sodium, canned or ready-to-serve","2019-04-01"
"338926","Chicken or turkey broth, less or reduced sodium, canned or ready-to-serve","2019-04-01"
"338927","Chicken rice soup, Puerto Rican style (Sopa de pollo con arroz)","2019-04-01"
"338928","Chicken soup with noodles and potatoes, Puerto Rican style","2019-04-01"
"338929","Chicken or turkey gumbo soup, home recipe, canned or ready-to-serve","2019-04-01"
"338930","Chicken or turkey noodle soup, chunky style, canned or ready-to-serve","2019-04-01"
"338931","Sweet and sour soup","2019-04-01"
"338932","Chicken or turkey soup with vegetables (broccoli, carrots, celery, potatoes and onions), Asian style","2019-04-01"
"338933","Chicken or turkey corn soup with noodles, home recipe","2019-04-01"
"338934","Chicken or turkey vegetable soup, canned, prepared with water or ready-to-serve","2019-04-01"
"338935","Chicken or turkey vegetable soup, stew type","2019-04-01"
"338936","Chicken or turkey vegetable soup with rice, stew type, chunky style","2019-04-01"
"338937","Chicken or turkey vegetable soup with noodles, stew type, chunky style, canned or ready-to-serve","2019-04-01"
"338938","Chicken or turkey vegetable soup, home recipe","2019-04-01"
"338939","Chicken or turkey vegetable soup with rice, Mexican style, home recipe (Sopa / Caldo de Pollo)","2019-04-01"
"338940","Chicken or turkey and corn hominy soup, Mexican style, home recipe (Pozole)","2019-04-01"
"338941","Chicken or turkey vegetable soup with potato and cheese, chunky style, canned or ready-to-serve","2019-04-01"
"338942","Bird's nest soup (chicken, ham, and noodles)","2019-04-01"
"338943","Hot and sour soup","2019-04-01"
"338944","Chicken or turkey soup with vegetables and fruit, Asian Style","2019-04-01"
"338945","Chicken or turkey soup, cream of, canned, reduced sodium, NS as to made with milk or water","2019-04-01"
"338946","Chicken or turkey soup, cream of, canned, reduced sodium, made with milk","2019-04-01"
"338947","Chicken or turkey soup, cream of, canned, reduced sodium, made with water","2019-04-01"
"338948","Chicken or turkey soup, cream of, NS as to prepared with milk or water","2019-04-01"
"338949","Chicken or turkey soup, cream of, prepared with milk","2019-04-01"
"338950","Chicken or turkey soup, cream of, prepared with water","2019-04-01"
"338951","Chicken or turkey mushroom soup, cream of, prepared with milk","2019-04-01"
"338952","Duck soup","2019-04-01"
"338953","Fish stock, home recipe","2019-04-01"
"338954","Fish chowder","2019-04-01"
"338955","Crab soup, NS as to tomato-base or cream style","2019-04-01"
"338956","Crab soup, tomato-base","2019-04-01"
"338957","Clam chowder, NS as to Manhattan or New England style","2019-04-01"
"338958","Clam chowder, Manhattan","2019-04-01"
"338959","Turtle and vegetable soup","2019-04-01"
"338960","Fish and vegetable soup, no potatoes (Sopa de pescado y mariscos)","2019-04-01"
"338961","Fish soup, with potatoes (Sopa de Pescado y Mariscos)","2019-04-01"
"338962","Codfish, rice, and vegetable soup, Puerto Rican style","2019-04-01"
"338963","Codfish soup with noodles, Puerto Rican style","2019-04-01"
"338964","Clam chowder, New England, NS as to prepared with water or milk","2019-04-01"
"338965","Clam chowder, New England, prepared with milk","2019-04-01"
"338966","Clam chowder, New England, prepared with water","2019-04-01"
"338967","Clam chowder, New England, reduced sodium, canned or ready-to-serve","2019-04-01"
"338968","Crab soup, cream of, prepared with milk","2019-04-01"
"338969","Lobster bisque","2019-04-01"
"338971","Oyster stew","2019-04-01"
"338972","Salmon soup, cream style","2019-04-01"
"338973","Shrimp soup, cream of, NS as to prepared with milk or water","2019-04-01"
"338974","Shrimp soup, cream of, prepared with milk","2019-04-01"
"338975","Shrimp soup, cream of, prepared with water","2019-04-01"
"338977","Seafood soup with potatoes and vegetables (including carrots, broccoli, and/or dark-green leafy)","2019-04-01"
"338978","Seafood soup with potatoes and vegetables (excluding carrots, broccoli, and dark-green leafy)","2019-04-01"
"338979","Seafood soup with vegetables (including carrots, broccoli, and/or dark-green leafy (no potatoes))","2019-04-01"
"338980","Seafood soup with vegetables (excluding carrots, broccoli, and dark-green leafy (no potatoes))","2019-04-01"
"338981","Meat broth, Puerto Rican style","2019-04-01"
"338982","Spanish vegetable soup, Puerto Rican style (Caldo gallego)","2019-04-01"
"339127","Fried egg sandwich","2019-04-01"
"339128","Egg, cheese, ham, and bacon on bun","2019-04-01"
"339129","Egg, cheese, and ham on English muffin","2019-04-01"
"339130","Egg, cheese, and ham on biscuit","2019-04-01"
"339131","Egg, cheese and ham on bagel","2019-04-01"
"339132","Egg, cheese, and sausage on English muffin","2019-04-01"
"339133","Egg, cheese, and sausage on bun","2019-04-01"
"339134","Egg, extra cheese (2 slices), and extra sausage (2 patties) on bun","2019-04-01"
"339135","Egg, cheese, and beef on English Muffin","2019-04-01"
"339136","Egg, cheese, and steak on bagel","2019-04-01"
"339137","Egg, cheese, and sausage on biscuit","2019-04-01"
"339138","Egg, cheese, and sausage griddle cake sandwich","2019-04-01"
"339139","Egg and sausage on biscuit","2019-04-01"
"339140","Egg, cheese, and bacon on biscuit","2019-04-01"
"339141","Egg, cheese, and bacon griddle cake sandwich","2019-04-01"
"339142","Egg, cheese, and bacon on English muffin","2019-04-01"
"339143","Egg, cheese and bacon on bagel","2019-04-01"
"339144","Egg and bacon on biscuit","2019-04-01"
"339145","Egg and ham on biscuit","2019-04-01"
"339146","Egg, cheese and sausage on bagel","2019-04-01"
"339147","Egg and steak on biscuit","2019-04-01"
"339148","Egg and cheese on biscuit","2019-04-01"
"339149","Egg salad sandwich","2019-04-01"
"339150","Scrambled egg sandwich","2019-04-01"
"339151","Egg drop soup","2019-04-01"
"339152","Garlic egg soup, Puerto Rican style (Sopa de ajo)","2019-04-01"
"339370","Vermicelli, made from soybeans","2019-04-01"
"339374","Bean soup, NFS","2019-04-01"
"339375","Bean with bacon or ham soup, canned or ready-to-serve","2019-04-01"
"339376","Black bean soup, home recipe, canned or ready-to-serve","2019-04-01"
"339377","Lima bean soup, home recipe, canned or ready-to-serve","2019-04-01"
"339378","Soybean soup, miso broth","2019-04-01"
"339379","Pinto bean soup, home recipe, canned or ready-to-serve","2019-04-01"
"339380","Bean soup, with macaroni, home recipe, canned, or ready-to-serve","2019-04-01"
"339381","Portuguese bean soup, home recipe, canned or ready-to-serve","2019-04-01"
"339382","Bean and ham soup, chunky style, canned or ready-to-serve","2019-04-01"
"339383","Bean soup, mixed beans, home recipe, canned or ready-to-serve","2019-04-01"
"339384","Bean soup, home recipe","2019-04-01"
"339385","Bean and ham soup, canned, reduced sodium, prepared with water or ready-to-serve","2019-04-01"
"339386","Bean and ham soup, home recipe","2019-04-01"
"339387","Liquid from stewed kidney beans, Puerto Rican style","2019-04-01"
"339388","Pea and ham soup, chunky style, canned or ready-to-serve","2019-04-01"
"339389","Garbanzo bean or chickpea soup, home recipe, canned or ready-to-serve","2019-04-01"
"339390","Split pea and ham soup","2019-04-01"
"339391","Split pea soup","2019-04-01"
"339392","Split pea soup, canned, reduced sodium, prepared with water or ready-to-serve","2019-04-01"
"339393","Split pea and ham soup, canned, reduced sodium, prepared with water or ready-to-serve","2019-04-01"
"339394","Lentil soup, home recipe, canned, or ready-to-serve","2019-04-01"
"339395","White bean soup, Puerto Rican style (Sopon de habichuelas blancas)","2019-04-01"
"339472","Peanut butter sandwich","2019-04-01"
"339473","Peanut butter and jelly sandwich","2019-04-01"
"339474","Peanut butter and banana sandwich","2019-04-01"
"339497","Bread, NS as to major flour","2019-04-01"
"339498","Bread, NS as to major flour, toasted","2019-04-01"
"339499","Bread, made from home recipe or purchased at a bakery, NS as to major flour","2019-04-01"
"339500","Bread, made from home recipe or purchased at a bakery, toasted, NS as to major flour","2019-04-01"
"339501","Roll, NS as to major flour","2019-04-01"
"339502","Roll, hard, NS as to major flour","2019-04-01"
"339503","Roll, bran, NS as to type of bran","2019-04-01"
"339504","Bread, white","2019-04-01"
"339505","Bread, white, toasted","2019-04-01"
"339506","Bread, white, made from home recipe or purchased at a bakery","2019-04-01"
"339507","Bread, white, made from home recipe or purchased at a bakery, toasted","2019-04-01"
"339508","Bread, white with whole wheat swirl","2019-04-01"
"339509","Bread, white with whole wheat swirl, toasted","2019-04-01"
"339510","Bread, Cuban","2019-04-01"
"339511","Bread, Cuban, toasted","2019-04-01"
"339512","Bread, Native, water, Puerto Rican style (Pan Criollo)","2019-04-01"
"339513","Bread, Native, water, Puerto Rican style, toasted (Pan Criollo)","2019-04-01"
"339514","Bread, lard, Puerto Rican style (Pan de manteca)","2019-04-01"
"339515","Bread, lard, Puerto Rican style, toasted (Pan de manteca)","2019-04-01"
"339516","Bread, caressed, Puerto Rican style (Pan sobao)","2019-04-01"
"339517","Bread, caressed, Puerto Rican style, toasted (Pan sobao)","2019-04-01"
"339518","Bread, French or Vienna","2019-04-01"
"339519","Bread, French or Vienna, toasted","2019-04-01"
"339520","Focaccia, Italian flatbread, plain","2019-04-01"
"339521","Naan, Indian flatbread","2019-04-01"
"339522","Bread, Italian, Grecian, Armenian","2019-04-01"
"339523","Bread, Italian, Grecian, Armenian, toasted","2019-04-01"
"339524","Bread, pita","2019-04-01"
"339525","Bread, pita, toasted","2019-04-01"
"339526","Bread, pita with fruit","2019-04-01"
"339527","Bread, pita with fruit, toasted","2019-04-01"
"339528","Bread, cheese","2019-04-01"
"339529","Bread, cheese, toasted","2019-04-01"
"339530","Bread, cinnamon","2019-04-01"
"339531","Bread, cinnamon, toasted","2019-04-01"
"339532","Bread, cornmeal and molasses","2019-04-01"
"339533","Bread, cornmeal and molasses, toasted","2019-04-01"
"339534","Bread, egg, Challah","2019-04-01"
"339535","Bread, egg, Challah, toasted","2019-04-01"
"339536","Bread, garlic","2019-04-01"
"339537","Bread, onion","2019-04-01"
"339538","Bread, onion, toasted","2019-04-01"
"339539","Bread, reduced calorie and/or high fiber, white or NFS","2019-04-01"
"339540","Bread, reduced calorie and/or high fiber, white or NFS, toasted","2019-04-01"
"339541","Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts","2019-04-01"
"339542","Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts, toasted","2019-04-01"
"339543","Bread, white, special formula, added fiber","2019-04-01"
"339544","Bread, white, special formula, added fiber, toasted","2019-04-01"
"339545","Bread, high protein","2019-04-01"
"339546","Bread, high protein, toasted","2019-04-01"
"339547","Bread, potato","2019-04-01"
"339548","Bread, potato, toasted","2019-04-01"
"339549","Bread, raisin","2019-04-01"
"339550","Bread, raisin, toasted","2019-04-01"
"339551","Bread, white, low sodium or no salt","2019-04-01"
"339552","Bread, white, low sodium or no salt, toasted","2019-04-01"
"339553","Bread, sour dough","2019-04-01"
"339554","Bread, sour dough, toasted","2019-04-01"
"339555","Bread, sweet potato","2019-04-01"
"339556","Bread, sweet potato, toasted","2019-04-01"
"339557","Bread, vegetable","2019-04-01"
"339558","Bread, vegetable, toasted","2019-04-01"
"339559","Bruschetta","2019-04-01"
"339560","Bread, dough, fried","2019-04-01"
"339561","Roll, white, soft","2019-04-01"
"339562","Roll, white, hard","2019-04-01"
"339563","Roll, white, hot dog bun","2019-04-01"
"339564","Roll, white, hamburger bun","2019-04-01"
"339565","Roll, diet","2019-04-01"
"339566","Roll, egg bread","2019-04-01"
"339567","Roll, cheese","2019-04-01"
"339568","Roll, French or Vienna","2019-04-01"
"339569","Roll, garlic","2019-04-01"
"339570","Roll, white, hoagie, submarine","2019-04-01"
"339571","Roll, Mexican, bolillo","2019-04-01"
"339572","Roll, sour dough","2019-04-01"
"339590","Bagel","2019-04-01"
"339591","Bagel, with raisins","2019-04-01"
"339592","Bagel, with fruit other than raisins","2019-04-01"
"339596","Bread stick, soft","2019-04-01"
"339597","Bread stick, NS as to hard or soft","2019-04-01"
"339598","Bread stick, soft, prepared with garlic and parmesan cheese","2019-04-01"
"339601","Muffin, English","2019-04-01"
"339602","Muffin, English, with raisins","2019-04-01"
"339603","Muffin, English, cheese","2019-04-01"
"339604","Muffin, English, with fruit other than raisins","2019-04-01"
"339609","Bread, whole grain white","2019-04-01"
"339610","Bread, whole grain white, toasted","2019-04-01"
"339611","Bagel, whole grain white","2019-04-01"
"339612","Bread, whole wheat","2019-04-01"
"339613","Bread, whole wheat, toasted","2019-04-01"
"339614","Bread, whole wheat, made from home recipe or purchased at bakery","2019-04-01"
"339615","Bread, whole wheat, made from home recipe or purchased at bakery, toasted","2019-04-01"
"339616","Bread, chappatti or roti (Indian bread), wheat","2019-04-01"
"339617","Bread, puri or poori (Indian puffed bread), wheat","2019-04-01"
"339618","Bread, paratha, (Indian flat bread), wheat","2019-04-01"
"339619","Bread, whole wheat, with raisins","2019-04-01"
"339620","Bread, whole wheat, with raisins, toasted","2019-04-01"
"339621","Bread, sprouted wheat","2019-04-01"
"339622","Bread, sprouted wheat, toasted","2019-04-01"
"339623","Bread, wheat or cracked wheat","2019-04-01"
"339624","Bread, wheat or cracked wheat, toasted","2019-04-01"
"339625","Bread, wheat or cracked wheat, made from home recipe or purchased at bakery","2019-04-01"
"339626","Bread, wheat or cracked wheat, made from home recipe or purchased at bakery, toasted","2019-04-01"
"339627","Bread, wheat or cracked wheat, with raisins","2019-04-01"
"339628","Bread, wheat or cracked wheat, with raisins, toasted","2019-04-01"
"339629","Bread, wheat or cracked wheat, reduced calorie and/or high fiber","2019-04-01"
"339630","Bread, wheat or cracked wheat, reduced calorie and/or high fiber, toasted","2019-04-01"
"339631","Bread, French or Vienna, whole wheat","2019-04-01"
"339632","Bread, French or Vienna, whole wheat, toasted","2019-04-01"
"339633","Bread, pita, whole wheat","2019-04-01"
"339634","Bread, pita, whole wheat, toasted","2019-04-01"
"339635","Bread, pita, wheat or cracked wheat","2019-04-01"
"339636","Bread, pita, wheat or cracked wheat, toasted","2019-04-01"
"339637","Bagel, wheat","2019-04-01"
"339638","Bagel, whole wheat","2019-04-01"
"339639","Bagel, wheat, with raisins","2019-04-01"
"339640","Bagel, whole wheat, with raisins","2019-04-01"
"339641","Bagel, wheat, with fruit and nuts","2019-04-01"
"339642","Bagel, wheat bran","2019-04-01"
"339643","Muffin, English, wheat bran","2019-04-01"
"339644","Muffin, English, wheat bran, with raisins","2019-04-01"
"339645","Muffin, English, wheat or cracked wheat","2019-04-01"
"339646","Muffin, English, whole wheat","2019-04-01"
"339647","Muffin, English, wheat or cracked wheat, with raisins","2019-04-01"
"339648","Muffin, English, whole wheat, with raisins","2019-04-01"
"339649","Muffin, English, whole grain white","2019-04-01"
"339651","Roll, wheat or cracked wheat","2019-04-01"
"339652","Roll, wheat or cracked wheat, hot dog bun","2019-04-01"
"339653","Roll, wheat or cracked wheat, hamburger bun","2019-04-01"
"339654","Roll, whole wheat","2019-04-01"
"339655","Roll, whole wheat, hot dog bun","2019-04-01"
