"id","description","last_updated"
"336234","Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk (1%)","2019-04-01"
"336235","Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk (skim)","2019-04-01"
"336236","Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk","2019-04-01"
"336237","Strawberry milk, NFS","2019-04-01"
"336238","Strawberry milk, whole","2019-04-01"
"336239","Strawberry milk, reduced fat (2%)","2019-04-01"
"336240","Strawberry milk, low fat (1%)","2019-04-01"
"336241","Strawberry milk, fat free (skim)","2019-04-01"
"336242","Strawberry milk, non-dairy","2019-04-01"
"336243","Milk, malted, natural flavor, made with milk","2019-04-01"
"336244","Milk, malted, chocolate, made with milk","2019-04-01"
"336245","Eggnog, regular","2019-04-01"
"336246","Eggnog, lowfat / light","2019-04-01"
"336247","Milk shake, home recipe, chocolate","2019-04-01"
"336248","Milk shake, home recipe, flavors other than chocolate","2019-04-01"
"336249","Milk shake, home recipe, chocolate, light","2019-04-01"
"336250","Milk shake, home recipe, flavors other than chocolate, light","2019-04-01"
"336251","Milk shake with malt","2019-04-01"
"336252","Milk shake, fast food, chocolate","2019-04-01"
"336253","Milk shake, fast food, flavors other than chocolate","2019-04-01"
"336254","Milk shake, bottled, chocolate","2019-04-01"
"336255","Milk shake, bottled, flavors other than chocolate","2019-04-01"
"336261","Yoo-hoo, chocolate milk drink","2019-04-01"
"336595","Ice cream soda, flavors other than chocolate","2019-04-01"
"336596","Ice cream soda, chocolate","2019-04-01"
"336706","Cheese, NFS","2019-04-01"
"336707","Cheese, Blue or Roquefort","2019-04-01"
"336708","Cheese, Brick","2019-04-01"
"336709","Cheese, Camembert","2019-04-01"
"336710","Cheese, Brie","2019-04-01"
"336711","Cheese, Cheddar","2019-04-01"
"336712","Cheese, Cheddar, reduced fat","2019-04-01"
"336713","Cheese, Cheddar, nonfat or fat free","2019-04-01"
"336714","Cheese, Colby","2019-04-01"
"336715","Cheese, Colby Jack","2019-04-01"
"336716","Cheese, Feta","2019-04-01"
"336717","Cheese, Fontina","2019-04-01"
"336718","Cheese, goat","2019-04-01"
"336719","Cheese, Gouda or Edam","2019-04-01"
"336720","Cheese, Gruyere","2019-04-01"
"336721","Cheese, Limburger","2019-04-01"
"336722","Cheese, Monterey","2019-04-01"
"336723","Cheese, Monterey, reduced fat","2019-04-01"
"336724","Cheese, Mozzarella, NFS","2019-04-01"
"336725","Cheese, Mozzarella, whole milk","2019-04-01"
"336726","Cheese, Mozzarella, part skim","2019-04-01"
"336727","Cheese, Mozzarella, reduced sodium","2019-04-01"
"336728","Cheese, Mozzarella, nonfat or fat free","2019-04-01"
"336729","Cheese, Muenster","2019-04-01"
"336730","Cheese, Muenster, reduced fat","2019-04-01"
"336731","Cheese, Parmesan, dry grated","2019-04-01"
"336732","Cheese, Parmesan, dry grated, reduced fat","2019-04-01"
"336733","Cheese, Parmesan, hard","2019-04-01"
"336734","Cheese, Parmesan, dry grated, fat free","2019-04-01"
"336735","Cheese, Port du Salut","2019-04-01"
"336736","Cheese, Provolone","2019-04-01"
"336737","Cheese, provolone, reduced fat","2019-04-01"
"336738","Cheese, Swiss","2019-04-01"
"336739","Cheese, Swiss, reduced sodium","2019-04-01"
"336740","Cheese, Swiss, reduced fat","2019-04-01"
"336741","Cheese, Swiss, nonfat or fat free","2019-04-01"
"336742","Cheese, Cheddar, reduced sodium","2019-04-01"
"336743","Cheese, Mexican blend","2019-04-01"
"336744","Cheese, Mexican blend, reduced fat","2019-04-01"
"336745","Queso Anejo (aged Mexican cheese)","2019-04-01"
"336746","Queso Asadero","2019-04-01"
"336747","Queso Chihuahua","2019-04-01"
"336748","Queso Fresco","2019-04-01"
"336749","Queso cotija","2019-04-01"
"336750","Cheese, cottage, NFS","2019-04-01"
"336751","Cheese, cottage, creamed, large or small curd","2019-04-01"
"336752","Cottage cheese, farmer's","2019-04-01"
"336753","Cheese, Ricotta","2019-04-01"
"336754","Cheese, cottage, with fruit","2019-04-01"
"336755","Cheese, cottage, with vegetables","2019-04-01"
"336756","Cheese, cottage, dry curd","2019-04-01"
"336757","Cheese, cottage, salted, dry curd","2019-04-01"
"336758","Puerto Rican white cheese (queso del pais, blanco)","2019-04-01"
"336759","Cheese, cottage, lowfat (1-2% fat)","2019-04-01"
"336760","Cheese, cottage, lowfat, with fruit","2019-04-01"
"336761","Cheese, cottage, lowfat, with vegetables","2019-04-01"
"336762","Cheese, cottage, lowfat, low sodium","2019-04-01"
"336763","Cheese, cottage, lowfat, lactose reduced","2019-04-01"
"336766","Cheese, American and Swiss blends","2019-04-01"
"336767","Cheese, American","2019-04-01"
"336768","Cheese, American, reduced fat","2019-04-01"
"336769","Cheese, American, nonfat or fat free","2019-04-01"
"336770","Cheese, American, reduced sodium","2019-04-01"
"336771","Cheese spread, American or Cheddar cheese base, reduced fat","2019-04-01"
"336772","Cheese, processed cream cheese product, nonfat or fat free","2019-04-01"
"336773","Cheese, processed cheese food","2019-04-01"
"336774","Cheese, processed, with vegetables","2019-04-01"
"336775","Cheese,  with wine","2019-04-01"
"336776","Cheese spread, American or Cheddar cheese base","2019-04-01"
"336777","Cheese spread, Swiss cheese base","2019-04-01"
"336780","Cheese spread, pressurized can","2019-04-01"
"336781","Imitation cheese","2019-04-01"
"336782","Cheese, cottage cheese, with gelatin dessert","2019-04-01"
"336783","Cheese, cottage cheese, with gelatin dessert and fruit","2019-04-01"
"336784","Cheese, cottage cheese, with gelatin dessert and vegetables","2019-04-01"
"336785","Cheese with nuts","2019-04-01"
"336803","Mozzarella sticks, breaded, baked, or fried","2019-04-01"
"336807","Meat, NFS","2019-04-01"
"336810","Ground meat, NFS","2019-04-01"
"336811","Beef, NS as to cut, cooked, NS as to fat eaten","2019-04-01"
"336812","Beef, NS as to cut, cooked, lean and fat eaten","2019-04-01"
"336813","Beef, NS as to cut, cooked, lean only eaten","2019-04-01"
"336814","Steak, NS as to type of meat, cooked, NS as to fat eaten","2019-04-01"
"336815","Steak, NS as to type of meat, cooked, lean and fat eaten","2019-04-01"
"336816","Steak, NS as to type of meat, cooked, lean only eaten","2019-04-01"
"336817","Beef, pickled","2019-04-01"
"336818","Beef, NS as to cut, fried, NS to fat eaten","2019-04-01"
"336819","Beef steak, NS as to cooking method, NS as to fat eaten","2019-04-01"
"336820","Beef steak, NS as to cooking method, lean and fat eaten","2019-04-01"
"336821","Beef steak, NS as to cooking method, lean only eaten","2019-04-01"
"336822","Beef steak, broiled or baked, NS as to fat eaten","2019-04-01"
"336823","Beef steak, broiled or baked, lean and fat eaten","2019-04-01"
"336824","Beef steak, broiled or baked, lean only eaten","2019-04-01"
"336825","Beef steak, fried, NS as to fat eaten","2019-04-01"
"336826","Beef steak, fried, lean and fat eaten","2019-04-01"
"336827","Beef steak, fried, lean only eaten","2019-04-01"
"336828","Beef steak, breaded or floured, baked or fried, NS as to fat eaten","2019-04-01"
"336829","Beef steak, breaded or floured, baked or fried, lean and fat eaten","2019-04-01"
"336830","Beef steak, breaded or floured, baked or fried, lean only eaten","2019-04-01"
"336831","Beef steak, battered, fried, NS as to fat eaten","2019-04-01"
"336832","Beef steak, battered, fried, lean and fat eaten","2019-04-01"
"336833","Beef steak, battered, fried, lean only eaten","2019-04-01"
"336834","Beef steak, braised, NS as to fat eaten","2019-04-01"
"336835","Beef steak, braised, lean and fat eaten","2019-04-01"
"336836","Beef steak, braised, lean only eaten","2019-04-01"
"336837","Beef, oxtails, cooked","2019-04-01"
"336838","Beef, neck bones, cooked","2019-04-01"
"336839","Beef, shortribs, cooked, NS as to fat eaten","2019-04-01"
"336840","Beef, shortribs, cooked, lean and fat eaten","2019-04-01"
"336841","Beef, shortribs, cooked, lean only eaten","2019-04-01"
"336842","Beef, shortribs, barbecued, with sauce, NS as to fat eaten","2019-04-01"
"336843","Beef, shortribs, barbecued, with sauce, lean and fat eaten","2019-04-01"
"336844","Beef, shortribs, barbecued, with sauce, lean only eaten","2019-04-01"
"336845","Beef, cow head, cooked","2019-04-01"
"336846","Beef, roast, roasted, NS as to fat eaten","2019-04-01"
"336847","Beef, roast, roasted, lean and fat eaten","2019-04-01"
"336848","Beef, roast, roasted, lean only eaten","2019-04-01"
"336849","Beef, roast, canned","2019-04-01"
"336850","Beef, pot roast, braised or boiled, NS as to fat eaten","2019-04-01"
"336851","Beef, pot roast, braised or boiled, lean and fat eaten","2019-04-01"
"336852","Beef, pot roast, braised or boiled, lean only eaten","2019-04-01"
"336853","Beef, stew meat, cooked, NS as to fat eaten","2019-04-01"
"336854","Beef, stew meat, cooked, lean and fat eaten","2019-04-01"
"336855","Beef, stew meat, cooked, lean only eaten","2019-04-01"
"336860","Beef brisket, cooked, NS as to fat eaten","2019-04-01"
"336861","Beef brisket, cooked, lean and fat eaten","2019-04-01"
"336862","Beef brisket, cooked, lean only eaten","2019-04-01"
"336863","Beef, sandwich steak (flaked, formed, thinly sliced)","2019-04-01"
"336864","Ground beef, raw","2019-04-01"
"336865","Ground beef or patty, cooked, NS as to percent lean (formerly NS as to regular, lean, or extra lean)","2019-04-01"
"336866","Ground beef or patty, breaded, cooked","2019-04-01"
"336867","Ground beef patty, cooked (for fast food sandwiches)","2019-04-01"
"336868","Ground beef, less than 80% lean, cooked (formerly regular)","2019-04-01"
"336869","Ground beef, 80% - 84% lean, cooked (formerly lean)","2019-04-01"
"336870","Ground beef, 85% - 89% lean, cooked (formerly extra lean)","2019-04-01"
"336871","Ground beef, 90% - 94% lean, cooked","2019-04-01"
"336872","Ground beef, 95% or more lean, cooked","2019-04-01"
"336873","Ground beef with textured vegetable protein, cooked","2019-04-01"
"336883","Pork, NS as to cut, cooked, NS as to fat eaten","2019-04-01"
"336884","Pork, NS as to cut, cooked, lean and fat eaten","2019-04-01"
"336885","Pork, NS as to cut, cooked, lean only eaten","2019-04-01"
"336886","Pork, NS as to cut, fried, NS as to fat eaten","2019-04-01"
"336887","Pork, NS as to cut, fried, lean and fat eaten","2019-04-01"
"336888","Pork, NS as to cut, fried, lean only eaten","2019-04-01"
"336889","Pork, NS as to cut, breaded or floured, fried, NS as to fat eaten","2019-04-01"
"336890","Pork, NS as to cut, breaded or floured, fried, lean and fat eaten","2019-04-01"
"336891","Pork, NS as to cut, breaded or floured, fried, lean only eaten","2019-04-01"
"336892","Pork, pickled, NS as to cut","2019-04-01"
"336893","Pork, ground or patty, cooked","2019-04-01"
"336894","Pork, ground or patty, breaded, cooked","2019-04-01"
"336896","Pork chop, NS as to cooking method, NS as to fat eaten","2019-04-01"
"336897","Pork chop, NS as to cooking method, lean and fat eaten","2019-04-01"
"336898","Pork chop, NS as to cooking method, lean only eaten","2019-04-01"
"336899","Pork chop, broiled or baked, NS as to fat eaten","2019-04-01"
"336900","Pork chop, broiled or baked, lean and fat eaten","2019-04-01"
"336901","Pork chop, broiled or baked, lean only eaten","2019-04-01"
"336902","Pork chop, breaded or floured, broiled or baked, NS as to fat eaten","2019-04-01"
