"fdc_id","data_type","description","food_category_id","publication_date"
"336206","survey_fndds_food","Nesquik, chocolate milk, made from no sugar added dry mix with non-dairy milk","","2019-04-01"
"336207","survey_fndds_food","Chocolate milk, made from syrup, NS as to type of milk","","2019-04-01"
"336208","survey_fndds_food","Chocolate milk, made from syrup with whole milk","","2019-04-01"
"336209","survey_fndds_food","Chocolate milk, made from syrup with reduced fat milk (2%)","","2019-04-01"
"336210","survey_fndds_food","Chocolate milk, made from syrup with low fat milk (1%)","","2019-04-01"
"336211","survey_fndds_food","Chocolate milk, made from syrup with fat free milk (skim)","","2019-04-01"
"336212","survey_fndds_food","Chocolate milk, made from syrup with non-dairy milk","","2019-04-01"
"336213","survey_fndds_food","Chocolate milk, made from light syrup, NS as to type of milk","","2019-04-01"
"336214","survey_fndds_food","Chocolate milk, made from light syrup with whole milk","","2019-04-01"
"336215","survey_fndds_food","Chocolate milk, made from light syrup with reduced fat milk (2%)","","2019-04-01"
"336216","survey_fndds_food","Chocolate milk, made from light syrup with low fat milk (1%)","","2019-04-01"
"336217","survey_fndds_food","Chocolate milk, made from light syrup with fat free milk (skim)","","2019-04-01"
"336218","survey_fndds_food","Chocolate milk, made from light syrup with non-dairy milk","","2019-04-01"
"336219","survey_fndds_food","Chocolate milk, made from sugar free syrup, NS as to type of milk ","","2019-04-01"
"336220","survey_fndds_food","Chocolate milk, made from sugar free syrup with whole milk","","2019-04-01"
"336221","survey_fndds_food","Chocolate milk, made from sugar free syrup with reduced fat milk (2%)","","2019-04-01"
"336222","survey_fndds_food","Chocolate milk, made from sugar free syrup with low fat milk (1%)","","2019-04-01"
"336223","survey_fndds_food","Chocolate milk, made from sugar free syrup with fat free milk (skim)","","2019-04-01"
"336224","survey_fndds_food","Chocolate milk, made from sugar free syrup with non-dairy milk","","2019-04-01"
"336225","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and water","","2019-04-01"
"336226","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and whole milk","","2019-04-01"
"336227","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and reduced fat milk (2%)","","2019-04-01"
"336228","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and low fat milk (1%)","","2019-04-01"
"336229","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and fat free milk (skim)","","2019-04-01"
"336230","survey_fndds_food","Hot chocolate / Cocoa, made with dry mix and non-dairy milk","","2019-04-01"
"336231","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and water","","2019-04-01"
"336232","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk","","2019-04-01"
"336233","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk (2%)","","2019-04-01"
"336234","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk (1%)","","2019-04-01"
"336235","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk (skim)","","2019-04-01"
"336236","survey_fndds_food","Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk","","2019-04-01"
