"id","description","last_updated"
"781682","Cheese, Parmesan, dry grated, fat free","2020-04-01"
"781683","Cheese, Port du Salut","2020-04-01"
"781684","Cheese, Provolone","2020-04-01"
"781685","Cheese, provolone, reduced fat","2020-04-01"
"781686","Cheese, Swiss","2020-04-01"
"781687","Cheese, Swiss, reduced sodium","2020-04-01"
"781688","Cheese, Swiss, reduced fat","2020-04-01"
"781689","Cheese, Swiss, nonfat or fat free","2020-04-01"
"781690","Cheese, Cheddar, reduced sodium","2020-04-01"
"781691","Cheese, Mexican blend","2020-04-01"
"781692","Cheese, Mexican blend, reduced fat","2020-04-01"
"781693","Queso Anejo, aged Mexican cheese","2020-04-01"
"781694","Queso Asadero","2020-04-01"
"781695","Queso Chihuahua","2020-04-01"
"781696","Queso Fresco","2020-04-01"
"781697","Queso cotija","2020-04-01"
"781698","Cheese, cottage, NFS","2020-04-01"
"781699","Cheese, cottage, creamed, large or small curd","2020-04-01"
"781700","Cottage cheese, farmer's","2020-04-01"
"781701","Cheese, Ricotta","2020-04-01"
"781702","Cheese, cottage, with fruit","2020-04-01"
"781703","Cheese, cottage, with vegetables","2020-04-01"
"781704","Cheese, cottage, dry curd","2020-04-01"
"781705","Cheese, cottage, salted, dry curd","2020-04-01"
"781706","Puerto Rican white cheese","2020-04-01"
"781707","Cheese, cottage, low fat","2020-04-01"
"781708","Cheese, cottage, lowfat, with fruit","2020-04-01"
"781709","Cheese, cottage, lowfat, with vegetables","2020-04-01"
"781710","Cheese, cottage, lowfat, low sodium","2020-04-01"
"781711","Cheese, cottage, lowfat, lactose reduced","2020-04-01"
"781714","Cheese, American and Swiss blends","2020-04-01"
"781715","Cheese, American","2020-04-01"
"781716","Cheese, American, reduced fat","2020-04-01"
"781717","Cheese, American, nonfat or fat free","2020-04-01"
"781718","Cheese, American, reduced sodium","2020-04-01"
"781719","Cheese spread, American or Cheddar cheese base, reduced fat","2020-04-01"
"781720","Cheese, processed cream cheese product, nonfat or fat free","2020-04-01"
"781721","Cheese, processed cheese food","2020-04-01"
"781722","Cheese, processed, with vegetables","2020-04-01"
"781723","Cheese,  with wine","2020-04-01"
"781724","Cheese spread, American or Cheddar cheese base","2020-04-01"
"781725","Cheese spread, Swiss cheese base","2020-04-01"
"781728","Cheese spread, pressurized can","2020-04-01"
"781729","Imitation cheese","2020-04-01"
"781730","Cheese, cottage cheese, with gelatin dessert","2020-04-01"
"781731","Cheese, cottage cheese, with gelatin dessert and fruit","2020-04-01"
"781732","Cheese, cottage cheese, with gelatin dessert and vegetables","2020-04-01"
"781733","Cheese with nuts","2020-04-01"
"781806","Mozzarella sticks, breaded, baked, or fried","2020-04-01"
"781810","Meat, NFS","2020-04-01"
"781813","Ground meat, NFS","2020-04-01"
"781814","Beef, NS as to cut, cooked, NS as to fat eaten","2020-04-01"
"781815","Beef, NS as to cut, cooked, lean and fat eaten","2020-04-01"
"781816","Beef, NS as to cut, cooked, lean only eaten","2020-04-01"
"781817","Steak, NS as to type of meat, cooked, NS as to fat eaten","2020-04-01"
"781818","Steak, NS as to type of meat, cooked, lean and fat eaten","2020-04-01"
"781819","Steak, NS as to type of meat, cooked, lean only eaten","2020-04-01"
"781820","Beef, pickled","2020-04-01"
"781821","Beef, NS as to cut, fried, NS to fat eaten","2020-04-01"
"781822","Beef steak, NS as to cooking method, NS as to fat eaten","2020-04-01"
"781823","Beef steak, NS as to cooking method, lean and fat eaten","2020-04-01"
"781824","Beef steak, NS as to cooking method, lean only eaten","2020-04-01"
"781825","Beef steak, broiled or baked, NS as to fat eaten","2020-04-01"
"781826","Beef steak, broiled or baked, lean and fat eaten","2020-04-01"
"781827","Beef steak, broiled or baked, lean only eaten","2020-04-01"
"781828","Beef steak, fried, NS as to fat eaten","2020-04-01"
"781829","Beef steak, fried, lean and fat eaten","2020-04-01"
"781830","Beef steak, fried, lean only eaten","2020-04-01"
"781831","Beef steak, breaded or floured, baked or fried, NS as to fat eaten","2020-04-01"
"781832","Beef steak, breaded or floured, baked or fried, lean and fat eaten","2020-04-01"
"781833","Beef steak, breaded or floured, baked or fried, lean only eaten","2020-04-01"
"781834","Beef steak, battered, fried, NS as to fat eaten","2020-04-01"
"781835","Beef steak, battered, fried, lean and fat eaten","2020-04-01"
"781836","Beef steak, battered, fried, lean only eaten","2020-04-01"
"781837","Beef steak, braised, NS as to fat eaten","2020-04-01"
"781838","Beef steak, braised, lean and fat eaten","2020-04-01"
"781839","Beef steak, braised, lean only eaten","2020-04-01"
"781840","Beef, oxtails, cooked","2020-04-01"
"781841","Beef, neck bones, cooked","2020-04-01"
"781842","Beef, shortribs, cooked, NS as to fat eaten","2020-04-01"
"781843","Beef, shortribs, cooked, lean and fat eaten","2020-04-01"
"781844","Beef, shortribs, cooked, lean only eaten","2020-04-01"
"781845","Beef, shortribs, barbecued, with sauce, NS as to fat eaten","2020-04-01"
"781846","Beef, shortribs, barbecued, with sauce, lean and fat eaten","2020-04-01"
"781847","Beef, shortribs, barbecued, with sauce, lean only eaten","2020-04-01"
"781848","Beef, cow head, cooked","2020-04-01"
"781849","Beef, roast, roasted, NS as to fat eaten","2020-04-01"
"781850","Beef, roast, roasted, lean and fat eaten","2020-04-01"
"781851","Beef, roast, roasted, lean only eaten","2020-04-01"
"781852","Beef, roast, canned","2020-04-01"
"781853","Beef, pot roast, braised or boiled, NS as to fat eaten","2020-04-01"
"781854","Beef, pot roast, braised or boiled, lean and fat eaten","2020-04-01"
"781855","Beef, pot roast, braised or boiled, lean only eaten","2020-04-01"
"781856","Beef, stew meat, cooked, NS as to fat eaten","2020-04-01"
"781857","Beef, stew meat, cooked, lean and fat eaten","2020-04-01"
"781858","Beef, stew meat, cooked, lean only eaten","2020-04-01"
"781863","Beef brisket, cooked, NS as to fat eaten","2020-04-01"
"781864","Beef brisket, cooked, lean and fat eaten","2020-04-01"
"781865","Beef brisket, cooked, lean only eaten","2020-04-01"
"781866","Beef, sandwich steak, flaked, formed, thinly sliced","2020-04-01"
"781867","Ground beef, raw","2020-04-01"
"781868","Ground beef, cooked","2020-04-01"
"781869","Ground beef patty, cooked","2020-04-01"
"781878","Pork, NS as to cut, cooked, NS as to fat eaten","2020-04-01"
"781879","Pork, NS as to cut, cooked, lean and fat eaten","2020-04-01"
"781880","Pork, NS as to cut, cooked, lean only eaten","2020-04-01"
"781881","Pork, NS as to cut, fried, NS as to fat eaten","2020-04-01"
"781882","Pork, NS as to cut, fried, lean and fat eaten","2020-04-01"
"781883","Pork, NS as to cut, fried, lean only eaten","2020-04-01"
"781884","Pork, NS as to cut, breaded or floured, fried, NS as to fat eaten","2020-04-01"
"781885","Pork, NS as to cut, breaded or floured, fried, lean and fat eaten","2020-04-01"
"781886","Pork, NS as to cut, breaded or floured, fried, lean only eaten","2020-04-01"
"781887","Pork, pickled, NS as to cut","2020-04-01"
"781888","Pork, ground or patty, cooked","2020-04-01"
"781889","Pork, ground or patty, breaded, cooked","2020-04-01"
"781891","Pork chop, NS as to cooking method, NS as to fat eaten","2020-04-01"
"781892","Pork chop, NS as to cooking method, lean and fat eaten","2020-04-01"
"781893","Pork chop, NS as to cooking method, lean only eaten","2020-04-01"
"781894","Pork chop, broiled or baked, NS as to fat eaten","2020-04-01"
"781895","Pork chop, broiled or baked, lean and fat eaten","2020-04-01"
"781896","Pork chop, broiled or baked, lean only eaten","2020-04-01"
"781897","Pork chop, breaded or floured, broiled or baked, NS as to fat eaten","2020-04-01"
"781898","Pork chop, breaded or floured, broiled or baked, lean and fat eaten","2020-04-01"
"781899","Pork chop, breaded or floured, broiled or baked, lean only eaten","2020-04-01"
"781900","Pork chop, fried, NS as to fat eaten","2020-04-01"
"781901","Pork chop, fried, lean and fat eaten","2020-04-01"
"781902","Pork chop, fried, lean only eaten","2020-04-01"
"781903","Pork chop, breaded or floured, fried, NS as to fat eaten","2020-04-01"
"781904","Pork chop, breaded or floured, fried, lean and fat eaten","2020-04-01"
"781905","Pork chop, breaded or floured, fried, lean only eaten","2020-04-01"
"781906","Pork chop, battered, fried, NS as to fat eaten","2020-04-01"
"781907","Pork chop, battered, fried, lean and fat eaten","2020-04-01"
"781908","Pork chop, battered, fried, lean only eaten","2020-04-01"
"781909","Pork chop, stewed, NS as to fat eaten","2020-04-01"
"781910","Pork chop, stewed, lean and fat eaten","2020-04-01"
"781911","Pork chop, stewed, lean only eaten","2020-04-01"
"781915","Pork steak or cutlet, NS as to cooking method, NS as to fat eaten","2020-04-01"
"781916","Pork steak or cutlet, NS as to cooking method, lean and fat eaten","2020-04-01"
"781917","Pork steak or cutlet, NS as to cooking method, lean only eaten","2020-04-01"
"781918","Pork steak or cutlet, battered, fried, NS as to fat eaten","2020-04-01"
"781919","Pork steak or cutlet, battered, fried, lean and fat eaten","2020-04-01"
"781920","Pork steak or cutlet, battered, fried, lean only eaten","2020-04-01"
"781921","Pork steak or cutlet, broiled or baked, NS as to fat eaten","2020-04-01"
"781922","Pork steak or cutlet, broiled or baked, lean and fat eaten","2020-04-01"
"781923","Pork steak or cutlet, broiled or baked, lean only eaten","2020-04-01"
"781924","Pork steak or cutlet, fried, NS as to fat eaten","2020-04-01"
"781925","Pork steak or cutlet, fried, lean and fat eaten","2020-04-01"
"781926","Pork steak or cutlet, fried, lean only eaten","2020-04-01"
"781927","Pork steak or cutlet, breaded or floured, broiled or baked, NS as to fat eaten","2020-04-01"
"781928","Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten","2020-04-01"
"781929","Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten","2020-04-01"
"781930","Pork steak or cutlet, breaded or floured, fried, NS as to fat eaten","2020-04-01"
"781931","Pork steak or cutlet, breaded or floured, fried, lean and fat eaten","2020-04-01"
"781932","Pork steak or cutlet, breaded or floured, fried, lean only eaten","2020-04-01"
"781933","Pork, tenderloin, cooked, NS as to cooking method","2020-04-01"
"781934","Pork, tenderloin, breaded, fried","2020-04-01"
"781935","Pork, tenderloin, braised","2020-04-01"
"781936","Pork, tenderloin, baked","2020-04-01"
"781937","Pork, tenderloin, battered, fried","2020-04-01"
"781944","Ham, fresh, cooked, NS as to fat eaten","2020-04-01"
"781945","Ham, fresh, cooked, lean and fat eaten","2020-04-01"
"781946","Ham, fresh, cooked, lean only eaten","2020-04-01"
"781955","Pork roast, NS as to cut, cooked, NS as to fat eaten","2020-04-01"
"781956","Pork roast, NS as to cut, cooked, lean and fat eaten","2020-04-01"
"781957","Pork roast, NS as to cut, cooked, lean only eaten","2020-04-01"
"781958","Pork roast, loin, cooked, NS as to fat eaten","2020-04-01"
"781959","Pork roast, loin, cooked, lean and fat eaten","2020-04-01"
"781960","Pork roast, loin, cooked, lean only eaten","2020-04-01"
"781961","Fried pork chunks, Puerto Rican style","2020-04-01"
"781962","Pork roast, shoulder, cooked, NS as to fat eaten","2020-04-01"
"781963","Pork roast, shoulder, cooked, lean and fat eaten","2020-04-01"
"781964","Pork roast, shoulder, cooked, lean only eaten","2020-04-01"
"781979","Pork, spareribs, cooked, NS as to fat eaten","2020-04-01"
"781980","Pork, spareribs, cooked, lean and fat eaten","2020-04-01"
"781981","Pork, spareribs, cooked, lean only eaten","2020-04-01"
"781982","Pork, spareribs, barbecued, with sauce, NS as to fat eaten","2020-04-01"
"781983","Pork, spareribs, barbecued, with sauce, lean and fat eaten","2020-04-01"
"781984","Pork, spareribs, barbecued, with sauce, lean only eaten","2020-04-01"
"781985","Pork, cracklings, cooked","2020-04-01"
"781986","Pork ears, tail, head, snout, miscellaneous parts, cooked","2020-04-01"
"781987","Pork, neck bones, cooked","2020-04-01"
"781988","Pork, pig's feet, cooked","2020-04-01"
"781989","Pork, pig's feet, pickled","2020-04-01"
"781990","Pork, pig's hocks, cooked","2020-04-01"
"781991","Pork skin rinds","2020-04-01"
"781992","Pork skin, boiled","2020-04-01"
"781995","Lamb, NS as to cut, cooked","2020-04-01"
"781996","Lamb chop, NS as to cut, cooked, NS as to fat eaten","2020-04-01"
"781997","Lamb chop, NS as to cut, cooked, lean and fat eaten","2020-04-01"
"781998","Lamb chop, NS as to cut, cooked, lean only eaten","2020-04-01"
"781999","Lamb, loin chop, cooked, NS as to fat eaten","2020-04-01"
"782000","Lamb, loin chop, cooked, lean and fat eaten","2020-04-01"
"782001","Lamb, loin chop, cooked, lean only eaten","2020-04-01"
"782002","Lamb, shoulder chop, cooked, NS as to fat eaten","2020-04-01"
"782003","Lamb, shoulder chop, cooked, lean and fat eaten","2020-04-01"
"782004","Lamb, shoulder chop, cooked, lean only eaten","2020-04-01"
"782005","Lamb, ribs, cooked, lean only eaten","2020-04-01"
"782006","Lamb, ribs, cooked, NS as to fat eaten","2020-04-01"
"782007","Lamb, ribs, cooked, lean and fat eaten","2020-04-01"
"782008","Lamb hocks, cooked","2020-04-01"
"782009","Lamb, roast, cooked, NS as to fat eaten","2020-04-01"
"782010","Lamb, roast, cooked, lean and fat eaten","2020-04-01"
"782011","Lamb, roast, cooked, lean only eaten","2020-04-01"
"782012","Lamb, ground or patty, cooked","2020-04-01"
"782013","Goat, boiled","2020-04-01"
"782014","Goat, fried","2020-04-01"
"782015","Goat, baked","2020-04-01"
"782016","Goat head, cooked","2020-04-01"
"782017","Goat ribs, cooked","2020-04-01"
"782018","Veal, NS as to cut, cooked, NS as to fat eaten","2020-04-01"
"782019","Veal, NS as to cut, cooked, lean and fat eaten","2020-04-01"
"782020","Veal, NS as to cut, cooked, lean only eaten","2020-04-01"
"782021","Veal chop, NS as to cooking method, NS as to fat eaten","2020-04-01"
"782022","Veal chop, NS as to cooking method, lean and fat eaten","2020-04-01"
"782023","Veal chop, NS as to cooking method, lean only eaten","2020-04-01"
"782024","Veal chop, fried, NS as to fat eaten","2020-04-01"
"782025","Veal chop, fried, lean and fat eaten","2020-04-01"
"782026","Veal chop, fried, lean only eaten","2020-04-01"
"782027","Veal chop, broiled, NS as to fat eaten","2020-04-01"
"782028","Veal chop, broiled, lean and fat eaten","2020-04-01"
"782029","Veal chop, broiled, lean only eaten","2020-04-01"
"782030","Veal cutlet or steak, NS as to cooking method, NS as to fat eaten","2020-04-01"
"782031","Veal cutlet or steak, NS as to cooking method, lean and fat eaten","2020-04-01"
"782032","Veal cutlet or steak, NS as to cooking method, lean only eaten","2020-04-01"
"782033","Veal cutlet or steak, broiled, NS as to fat eaten","2020-04-01"
"782034","Veal cutlet or steak, broiled, lean and fat eaten","2020-04-01"
"782035","Veal cutlet or steak, broiled, lean only eaten","2020-04-01"
"782036","Veal cutlet or steak, fried, NS as to fat eaten","2020-04-01"
"782037","Veal cutlet or steak, fried, lean and fat eaten","2020-04-01"
"782038","Veal cutlet or steak, fried, lean only eaten","2020-04-01"
"782039","Veal, roasted, NS as to fat eaten","2020-04-01"
"782040","Veal, roasted, lean and fat eaten","2020-04-01"
"782041","Veal, roasted, lean only eaten","2020-04-01"
"782042","Veal, ground or patty, cooked","2020-04-01"
"782043","Mock chicken legs, cooked","2020-04-01"
"782044","Veal patty, breaded, cooked","2020-04-01"
"782045","Rabbit, NS as to domestic or wild, cooked","2020-04-01"
"782046","Rabbit, domestic, NS as to cooking method","2020-04-01"
"782047","Rabbit, NS as to domestic or wild, breaded, fried","2020-04-01"
"782048","Rabbit, wild, cooked","2020-04-01"
"782049","Venison/deer, NFS","2020-04-01"
"782051","Venison/deer, roasted","2020-04-01"
"782052","Venison/deer steak, cooked, NS as to cooking method","2020-04-01"
"782053","Venison/deer steak, breaded or floured, cooked, NS as to cooking method","2020-04-01"
"782056","Deer chop, cooked","2020-04-01"
"782057","Venison/deer ribs, cooked","2020-04-01"
"782058","Venison/deer, stewed","2020-04-01"
"782059","Moose, cooked","2020-04-01"
"782060","Bear, cooked","2020-04-01"
"782061","Caribou, cooked","2020-04-01"
"782062","Bison, cooked","2020-04-01"
"782063","Ground hog, cooked","2020-04-01"
"782064","Opossum, cooked","2020-04-01"
